Places,x,y
Bharatpur,77.3,27.15
Bhilwara,74.4,25.21
Bikaner,73.22,28.01
Chittaurgarh,74.42,24.54
Chatsu	,75.59,26.36
Dholpur,77.53,26.42
Dig,77.2,27.28
Ganganagar,70.8,26.8
Alwar,76.63,27.55
Bundi,75.64,25.43
Ramgarh,75.01,28.29
Indargarh,76.15,25.4
Mandawa,75.14,28.05
Sanganer,75.48,26.49
Jaipur,75.52,26.55
Jaislmer,70.53,26.55
Pokaran,71.58,26.55
Thar Desert,70.62,27.46
Reni,75.05,28.41
Udaipur,73.33,27.42
